PCC,SEPCC,quadratic,Zscore,NPL,profitability,profit_volat,capitalization,dummies,DtoD,Lerner,Hstatistic,Concentration,HHI,Boone,developed,undeveloped,GMM,SLS,Logit,FE,RE,OLS,T,endogeneity,macro,someAveraged,sampleyear,IFrecursive,citations,reviewed_journal,regulation,global,ownership,firstpub,lnobs
-0.05326331,0.03605665,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.6424868
-0.0692525,0.03602122,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,6.6424868
-0.07165678,0.03601509,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,1,1,0,2,6.6424868
-0.09393353,0.04336808,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.7725887,0,1,0,0,0.744,2.4510051,0,0,1,0,2,6.2672005
0.00813678,0.00434542,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.877198
0.01105391,0.00432477,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.88667
0.00922498,0.00432485,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.88667
-0.00347194,0.00421863,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.936476
-0.00748967,0.00419819,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.946147
-0.00691173,0.00419821,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.946147
-8.36E-05,0.00421866,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.936476
-0.00506597,0.00419826,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.9459101,1,0,1,9.5,0.184,3.5634782,1,1,1,1,6,10.946147
