PCC_w,SEPCC_w,dummies_w,Hstatistic_w,developed_w,undeveloped_w,Logit_w,lnobs_w,citations_w,firstpub_w,quadratic_w,Boone_w,IFrecursive_w,regulation_w,OLS_w,reviewed_journal_w,ownership_w,Concentration_w,FE_w,endogeneity_w,NPL_w,Lerner_w,global_w,HHI_w,macro_w,Zscore_w,RE_w,T_w,DtoD_w,sampleyear_w,GMM_w,someAveraged_w,profit_volat_w,profitability_w,SLS_w,capitalization_w
-0.0069489,0.003019,0,0,0,0.05,0,0.2797356,0.0437734,0.35,0,0,0.00025,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0,0.05,0.05,0.1098612,0,0.625,0,0,0,0,0,0
-0.004161,0.003223,0,0,0,0.05,0,0.2738232,0.0437734,0.35,0,0,0.00025,0,0,0.05,0.05,0,0,0.05,0,0,0.05,0,0,0.05,0,0.1098612,0,0.625,0.05,0,0,0,0,0
-0.0113535,0.0033602,0,0,0,0.05,0,0.2673554,0.0437734,0.35,0,0,0.00025,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0.1098612,0,0.625,0.05,0,0,0,0,0
-0.0085512,0.0033995,0,0,0,0.05,0,0.2673554,0.0437734,0.35,0,0,0.00025,0,0,0.05,0,0,0,0.05,0,0,0.05,0,0,0.05,0,0.1098612,0,0.625,0.05,0,0,0,0,0
-0.0034238,0.0001847,0,0,0,0,0,0.5947371,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0013303,0.0001851,0,0,0,0,0,0.5947371,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0,0,0.1459257,0,0.4736842,0,0,0.0526316,0,0,0
-0.0028254,0.0001849,0,0,0,0,0,0.5947371,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0,0,0.1459257,0,0.4736842,0,0,0,0,0,0.0526316
-0.0034848,0.0002153,0,0,0,0,0,0.5786033,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0039906,0.0001896,0,0,0,0,0,0.5919078,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0.0526316,0
-0.0033679,0.0001848,0,0,0,0,0,0.5947371,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0033696,0.0001848,0,0,0,0,0,0.5947371,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.00309,0.0001848,0,0,0,0,0,0.5947371,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0029952,0.0001865,0,0,0,0,0,0.5937796,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.002543,0.0001855,0,0,0,0,0,0.5943836,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0035572,0.0001886,0,0,0,0,0,0.5925505,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0031126,0.0001849,0,0,0,0,0,0.5947012,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0028454,0.0001889,0,0,0,0,0,0.5924771,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0033999,0.0001887,0,0,0,0,0,0.5925152,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0043611,0.0001891,0,0,0,0,0,0.5921648,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0037805,0.0001847,0,0,0,0,0,0.5947364,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0026726,0.0001865,0,0,0,0,0,0.5938094,0.1576701,0.4210526,0,0,0.0313684,0,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0021914,0.0001916,0,0,0,0,0,0.5910354,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0.0526316,0,0.1459257,0,0.4736842,0,0,0,0,0,0
-0.0003634,0.0001918,0,0,0,0,0,0.5910354,0.1576701,0.4210526,0,0,0.0313684,0.0526316,0,0.0526316,0,0,0.0526316,0.0526316,0,0.0526316,0,0,0,0,0,0.1459257,0,0.4736842,0,0,0.0526316,0,0,0
-0.0027232,0.0013221,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0034844,0.0012308,0.0416667,0,0,0,0.0416667,0.2932095,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0037502,0.001228,0.0416667,0,0,0,0.0416667,0.2933557,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0022812,0.001329,0.0416667,0,0,0,0.0416667,0.2869813,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0028293,0.0013219,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0027422,0.0013221,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0021821,0.0013231,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0,0,0,0,0,0.0416667,0.0416667,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0028955,0.0013217,0.0416667,0,0,0,0.0416667,0.2873623,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0073885,0.0024956,0.0416667,0,0,0,0.0416667,0.2332676,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0025484,0.0014444,0.0416667,0,0,0,0.0416667,0.2800092,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
0.0025012,0.0013232,0.0416667,0,0,0,0.0416667,0.2873201,0.1735032,0.125,0,0,0.0099583,0,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
-0.0032776,0.0017203,0.0416667,0,0,0,0.0416667,0.2653411,0.1735032,0.125,0,0,0.0099583,0.0416667,0,0.0416667,0,0.0416667,0,0,0,0,0.0416667,0,0.0416667,0,0,0.095941,0,0,0,0,0,0,0,0
