PCC,SE PCC,dummies,Zscore,NPL,profitability,profit_volat,lnobs,citations,firstpub,DtoD,quadratic,Lerner,Boone,Hstatistic,Concentration,HHI,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,endogeneity,macro,someAveraged,T,sampleyear,reviewed_journal,regulation,global,ownership,IFrecursive,capitalization
0.011767192,0.01401145,0,1,0,0,0,8.537583881,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.025341328,0.01385373,0,1,0,0,0,8.559486104,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.03814662,0.014092439,0,1,0,0,0,8.524764457,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.032825928,0.015689528,0,1,0,0,0,8.310906757,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
0.015833971,0.014045178,0,1,0,0,0,8.532672762,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.03091515,0.01386888,0,1,0,0,0,8.556990661,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.04485531,0.014109571,0,1,0,0,0,8.521782644,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.026029747,0.015706221,0,1,0,0,0,8.309184528,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.02536794,0.014096763,0,1,0,0,0,8.524962929,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.0499292,0.015278881,0,0,0,1,0,8.362642432,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.068323357,0.015438451,0,0,0,1,0,8.339978572,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.046109015,0.016356238,0,0,0,1,0,8.227375507,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.055526239,0.014806997,0,0,0,1,0,8.42485858,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.041716643,0.016729009,0,0,0,1,0,8.18339737,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,0,1,0,0.027,0
-0.040338712,0.015784713,0,0,0,1,0,8.298788394,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
0.013112753,0.01576477,0,1,0,0,0,8.302761581,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.064930231,0.014203488,0,0,0,1,0,8.506738734,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.005088675,0.014213197,0,1,0,0,0,8.509564164,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.049539803,0.016947827,0,0,0,1,0,8.156223323,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.001376095,0.017042413,0,1,0,0,0,8.147577736,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.065646876,0.015364162,0,0,0,1,0,8.349957272,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.011999079,0.015427388,0,1,0,0,0,8.345930262,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.053003102,0.015757679,0,0,0,1,0,8.301025254,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
0.011522619,0.01576312,0,1,0,0,0,8.303009381,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.059949166,0.014225226,0,0,0,1,0,8.504310566,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
-0.002993707,0.014260933,0,1,0,0,0,8.502891407,0.641237339,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.945910149,11.5,1,1,1,0,0.027,0
0.038209923,0.01561359,0,1,0,0,0,8.319473692,0.814524135,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.075610647,0.014932629,0,0,0,1,0,8.404248432,0.814524135,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.03960218,0.016200892,0,0,0,1,0,8.245646901,0.814524135,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.057971105,0.015553223,0,0,0,0,0,8.32530603,0.814524135,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,1
0.164541455,0.018916262,0,0,1,0,0,7.910590612,0.814524135,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
-0.099609213,0.015438371,0,1,0,0,0,8.333510709,0.814524135,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.05423064,0.015537653,0,1,0,0,0,8.327726166,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.054369223,0.016046839,0,0,0,1,0,8.263332667,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.061422894,0.016119559,0,0,0,1,0,8.253488028,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.002000797,0.015506175,0,0,0,0,0,8.334711622,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,1
0.09640308,0.018976984,0,0,1,0,0,7.922261058,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.068614833,0.014304691,0,1,0,0,0,8.491054534,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.122730833,0.014190753,0,1,0,0,0,8.496786382,0.814524135,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.090995019,0.014753758,0,0,0,1,0,8.425954711,0.814524135,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.076781335,0.01483676,0,0,0,1,0,8.417151837,0.814524135,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.055366485,0.017686516,0,0,1,0,0,8.069342367,0.814524135,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.095067623,0.014307409,0,1,0,0,0,8.486527777,0.814524135,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.085110256,0.013629756,0,1,0,0,0,8.585225602,0.814524135,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2.079441542,11,1,0,1,0,0,0
0.136918837,0.015415872,0,1,0,0,0,8.327726166,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,1,1,0,0,0
0.11565565,0.015458002,0,1,0,0,0,8.327726166,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,1,1,0,0,0
0.07239372,0.015521602,0,1,0,0,0,8.327726166,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,1,1,0,0,0
0.139738359,0.015409744,0,1,0,0,0,8.327726166,0.814524135,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.079441542,11,1,1,1,0,0,0
0.070327808,0.0339758,0,1,0,0,0,6.903747258,1.386294361,13,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2.302585093,14,1,0,1,0,0.016,0
0.066081465,0.034025183,0,1,0,0,0,6.903747258,1.386294361,13,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2.302585093,14,1,0,1,0,0.016,0
0.066294557,0.034124043,0,1,0,0,0,6.903747258,1.386294361,13,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2.302585093,14,1,0,1,1,0.016,0
0.173496514,0.033582577,0,1,0,0,0,6.903747258,1.386294361,13,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2.302585093,14,1,0,1,0,0.016,0
